"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"35",-0.1855,0.019,-0.1214,-0.1133,-0.0205,-0.0319,0.0708,-0.0073,-0.4933,0.0529,-0.4678,-0.0653,-0.1853,-0.0089,0.1329,0.0482,-0.0675,0.0629,0.0686,-0.0417,-0.0334,0.0487,0.1053,0.1095,-0.1116,-0.0462,-0.044,-0.0247,0.1937,0.0259,0.0714,0.1606,-0.0069,0.0179,1,-0.0554,0.0024,-0.1585,0.0197,-0.1662,-0.0254,-0.0097,-0.0331,-0.0483,0.0163,0.0109,0.0425,-0.0861,0.0344,-0.0317,0.0252,-0.1444,-0.0741,-0.1075,0.0079,0.008,-0.1166,-0.0177,0.0904,0.0025,0.1207,0.0537,0.0626,0.1494,0.0815,-0.0609,-0.0423,-0.0482,0.0334,-0.0279,0.0609,0.1353,0.2801,1,-0.0612,0.0413
"36",0.0919,-0.0845,-0.0279,0.1296,-0.1666,-0.1213,-0.0171,0.0799,-0.0274,0.2115,-0.0049,0.055,-0.0153,0.4824,0.0649,-0.0641,-0.0021,-0.1383,-0.0162,0.0722,0.0904,-0.1122,-0.319,0.0969,0.0566,-0.0588,0.0242,0.1224,0.1103,0.0163,-0.0075,0.2142,-0.0673,-0.0736,-0.0554,1,0.0935,-0.1134,-0.0543,0.0022,-0.0648,0.0079,0.1099,0.0071,-0.1048,-0.1478,0.0173,0.0403,0.157,0.0124,-0.0102,0.0733,0.0251,-0.0474,-0.0274,-0.073,-0.029,-0.0921,-0.0403,-0.0125,0.0173,-0.2205,0.1071,0.1283,-0.0478,-0.0488,0.0116,0.0184,-0.0196,0.1247,0.0776,-0.0266,-0.0697,-0.0177,1,-0.009
"37",0.1046,-0.0113,0.1736,0.0667,-0.0963,-0.015,-0.1239,-0.0187,-0.0709,0.0018,-0.0738,0.1366,-0.1166,0.1972,0.0317,-0.0522,-0.0536,0.6682,0.0587,-0.1649,0.0308,-0.0846,0.6182,0.4142,-0.1415,-0.0319,-0.0905,0.5334,0.3923,-0.0583,-0.0244,0.3027,0.0207,-0.4732,0.0024,0.0935,1,0.0188,-0.008,5e-04,-0.0989,0.0887,-0.0635,-0.0556,-0.0884,-0.1187,0.1095,-0.0156,0.0455,-0.0723,-0.0149,-0.0356,-0.0353,0.6535,0.5228,0.5697,0.5298,0.0712,-0.0708,0.1167,0.0257,0.2771,-0.0163,-0.0011,-0.1039,-0.1024,-0.0392,0.0686,0.0306,0.1653,0.6084,0.0431,-0.2152,-0.0165,0.0857,1
"38",0.2081,-0.0021,0.1954,0.0945,-0.0173,0.1406,0.0416,-0.0142,0.5,0.0044,0.0806,-0.0225,0.156,-0.0582,-0.0184,0.0198,-0.1579,0.052,-0.0727,-0.1932,-0.0493,0.1943,-0.0358,-0.0178,-0.066,0.1693,-0.0122,-0.0648,-0.0879,-0.1423,0.0479,-0.0464,-0.1667,0.0683,-0.1585,-0.1134,0.0188,1,0.0648,0.1439,0.0636,0.0013,0.1149,0.0519,-0.1132,0.1198,0.009,0.064,-0.0842,0.0572,0.0644,-0.1171,-0.1956,0.0558,0.0477,0.0693,-0.0892,0.0043,-0.0999,0.1038,-0.0792,-0.0536,0.0827,0.0711,0.0672,0.1005,-0.0568,-0.0695,0.0584,0.0102,-0.03,-0.2635,0.0232,-0.2706,-0.0877,-0.03
"39",3e-04,-0.0277,-0.0024,0.0419,-0.0214,-0.0127,0.0152,-0.1655,0.0636,0.0432,0.0901,0.012,0.0101,0.0045,-0.0396,-0.062,0.0828,0.1251,-0.1825,-0.0121,-0.1774,-0.0423,-0.093,-0.0609,-0.0879,-0.2082,-0.0989,0.0312,-0.0398,-0.023,-0.0917,-0.1352,-0.0399,-0.0423,0.0197,-0.0543,-0.008,0.0648,1,0.2444,-0.1688,-0.0318,-0.0215,0.0695,-0.0571,-0.1642,0.0491,0.0583,-0.1272,0.0333,0.1114,-0.0635,0.0025,0.0729,0.0559,0.0513,0.0386,0.0092,-0.0405,0.1641,-0.1365,-0.0307,-0.2048,-0.0651,-0.0819,-0.0145,-0.0347,0.033,-0.1838,0.0359,-0.1502,-0.0664,-0.0746,-0.0713,-0.0244,-0.0016
"40",0.0344,-0.0406,-0.0405,0.0452,0.025,-0.0819,-0.0608,-0.0834,0.1241,0.0181,0.0748,-0.0622,0.0136,-0.1003,-0.0547,-0.0377,0.0398,-0.0556,0.0375,-0.1042,0.0371,-0.0055,0.0168,-0.0994,0.0639,-0.0686,0.0303,-0.1011,-0.095,-0.1206,-0.006,-0.0867,0.0555,0.0887,-0.1662,0.0022,5e-04,0.1439,0.2444,1,-0.0544,-0.0435,-0.0794,-0.0631,-0.147,-0.1578,0.0189,0.099,-0.0186,0.0169,-0.1689,-0.1435,-0.004,0.0522,-0.0028,-0.0512,-0.0224,-0.0737,-0.1234,0.1087,-0.0226,-0.2147,-0.0947,-0.024,0.0171,-0.0038,-0.1359,-0.0896,-0.1663,0.2108,-0.0798,0.0081,0.0321,-0.1748,-0.0409,-0.0703
"41",0.098,0.1156,0.1189,0.0347,0.1395,0.1107,0.046,-0.0104,0.0204,-0.0954,-0.0363,-0.1274,0.0174,-0.0062,0.2044,-0.0358,-0.0848,0.0752,-0.1065,0.0618,-0.053,-0.1467,0.0588,-0.0156,-0.0157,0.0809,0.0656,-0.0528,0.0956,-0.1016,0.0659,0.0714,-0.089,-0.0052,-0.0254,-0.0648,-0.0989,0.0636,-0.1688,-0.0544,1,-0.0146,-0.0796,-0.1141,-0.0614,0.0467,-0.0628,-0.0661,-0.0537,-0.0107,-0.0828,-0.0596,4e-04,-0.0434,0.0596,-0.1883,0.0393,-0.0782,-0.0533,-0.2959,0.0854,0.0013,-0.0162,0.1362,0.1256,0.0599,-0.0263,-0.1542,0.0287,-0.0948,0.0868,-0.0516,-0.0148,0.0217,-0.0469,0.0058
"42",0.0993,-0.0064,0.0494,0.1196,-0.0396,0.0331,0.0122,0.0498,0.011,-0.0332,0.0258,0.0873,-6e-04,0.0814,0.0312,-0.1239,0.0935,-0.0692,0.0012,-0.1041,0.1321,0.1852,-0.054,0.0175,-0.0948,0.0392,0.0824,0.036,0.0765,0.0723,0.1068,0.0018,0.0908,-0.0758,-0.0097,0.0079,0.0887,0.0013,-0.0318,-0.0435,-0.0146,1,0.1046,-0.0183,-0.0781,-0.0587,0.1128,-0.1703,-0.1187,-0.0573,-0.0423,0.0018,-0.1498,0.0549,0.1158,0.0519,-0.0879,0.0404,0.1036,0.1288,-0.0048,-0.074,0.1918,0.1366,0.0979,-0.0488,-0.1828,0.1562,0.0086,0.0695,-0.0115,0.093,-0.104,-0.0201,0.0678,0.0385
"43",0.0632,-0.0178,0.0396,0.0122,-0.0511,0.0612,0.0398,0.1583,0.0565,-0.1207,0.0289,-0.033,0.0572,0.0655,-0.1014,0.0291,0.2116,0.0721,-0.2246,-0.0887,0.0623,0.1604,-0.1578,-0.0116,0.0313,0.1494,0.16,-0.0516,-0.0125,0.0504,-0.028,-0.0287,0.0918,0.0376,-0.0331,0.1099,-0.0635,0.1149,-0.0215,-0.0794,-0.0796,0.1046,1,0.1612,-0.0511,-0.1015,-0.1929,-0.1393,0.0046,0.0432,0.017,0.0081,-0.0967,-0.0405,-0.0899,-0.0216,0.0491,0.0091,0.1125,0.0199,-0.0288,-0.0573,0.2891,0.1983,-0.0162,-0.0195,-0.0574,0.0077,0.1864,0.034,-0.0758,0.0596,-0.0161,-0.0289,0.1448,-0.0685
"44",0.039,0.0292,0.0695,0.0325,0.0116,0.0962,0.0157,-0.0512,0.0414,0.0262,0.041,0.0295,0.0127,0.0786,0.0367,0.0982,-0.0408,-0.0356,0.0017,-0.0657,0.0614,0.2509,-0.083,0.023,-0.0364,-0.0852,0.1382,0.0364,0.0332,0.1434,0.0281,-0.0079,-0.0717,-0.0428,-0.0483,0.0071,-0.0556,0.0519,0.0695,-0.0631,-0.1141,-0.0183,0.1612,1,-0.0354,-0.1814,-0.0943,0.015,-0.0314,-0.0278,0.0385,0.0066,0.0068,-0.0554,0.0079,-0.0483,0.1618,-0.0133,0.1808,-0.22,-0.0864,0.0479,0.0509,-0.084,0.0527,0.1184,0.2154,0.0423,0.0107,-0.0219,-0.0398,-0.0573,-0.0899,-0.0507,0.0663,-0.0102
"45",-0.0923,-0.0283,-0.071,-0.0544,-9e-04,-0.0414,-0.0579,0.0544,-0.0834,0.0753,-0.0377,0.0521,-0.0458,0.01,-0.0088,0.0849,-0.0272,0.0817,0.0015,0.079,-0.1426,-0.1466,-0.0555,-0.0402,0.0312,0.1637,0.0794,0.0424,-0.0194,0.0085,-0.026,0.0781,-0.0383,0.0217,0.0163,-0.1048,-0.0884,-0.1132,-0.0571,-0.147,-0.0614,-0.0781,-0.0511,-0.0354,1,-0.0314,-0.0018,0.0937,0.1765,0.0412,0.1216,0.0668,0.0913,-0.0944,0.0217,-0.0062,-0.097,0.1119,-0.0373,-0.1148,0.0877,-0.014,-0.2964,-0.1737,-0.0598,-0.0323,-0.0348,-0.0872,-0.0692,0.0475,0.0738,-0.0059,0.0475,0.0539,-0.0883,-0.0273
