"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"66",-0.0175,0.0214,0.025,-0.0737,-0.0126,0.0486,0.0866,0.1041,0.0947,-0.0055,-0.0167,0.0084,0.048,0.0613,-0.1205,-0.0311,-0.1771,0.0352,-0.027,-0.1101,0.0924,-0.1212,-0.1513,0.1572,-0.1966,-0.0377,-0.3004,-0.0141,-0.0469,0.0323,-0.0881,0.0099,-0.2048,-0.0395,-0.0609,-0.0488,-0.1024,0.1005,-0.0145,-0.0038,0.0599,-0.0488,-0.0195,0.1184,-0.0323,0.0899,-0.1493,0.0725,0.1692,0.1925,0.102,-0.1326,-0.0742,-0.1599,0.0474,-6e-04,0.1703,-0.0095,0.0155,0.0257,0.1301,-0.0277,0.1127,-0.1511,-0.1262,1,-0.0532,-0.2309,-0.0986,-0.3099,-0.0447,-0.2213,-0.0283,-0.0607,0.0022,-0.0431
"67",-0.0375,-0.0061,6e-04,-0.0372,-0.0156,0.0348,-0.0416,0.081,-0.0272,-0.2504,-0.0276,0.0814,-0.0029,0.0015,-0.0334,0.015,0.0091,0.0828,0.0186,0.1511,0.0542,-0.0674,-0.0405,0.0865,0.0203,-0.0346,0.049,0.031,-0.0064,0.0561,-0.0176,-0.0436,0.0364,0.0167,-0.0423,0.0116,-0.0392,-0.0568,-0.0347,-0.1359,-0.0263,-0.1828,-0.0574,0.2154,-0.0348,0.06,0.0115,0.0744,0.0267,-0.0392,0.1741,-0.012,0.0246,-0.0968,-0.0695,0.0719,-0.0012,-0.1025,-0.0154,-0.107,0.0602,0.0359,0.0262,0.0484,-0.0602,-0.0532,1,0.0037,0.1652,-0.0259,-0.0661,0.0322,0.0298,-0.0012,0.0061,-0.0174
"68",-0.0356,0.0164,-0.1176,0.0718,0.0685,-0.1242,0.0237,-0.067,-0.0655,-0.072,0.0082,0.0015,-0.0838,-0.0603,0.0595,0.0025,0.1256,-0.1513,-0.0133,0.0835,0.01,0.057,0.0606,-0.0336,-0.0364,-0.1334,0.0168,-0.0483,-0.0128,0.0756,-0.0382,-0.0387,0.0361,-0.0285,-0.0482,0.0184,0.0686,-0.0695,0.033,-0.0896,-0.1542,0.1562,0.0077,0.0423,-0.0872,0.0497,0.3123,0.0803,-0.0601,-0.2462,-0.017,-0.0016,-0.1039,-0.022,0.0203,0.0775,-0.2255,0.2622,0.0935,0.0091,-0.1045,0.0607,-0.1198,-0.1344,-0.0379,-0.2309,0.0037,1,0.2265,0.1671,-0.0326,0.0846,-0.0291,-0.0193,-0.0262,-0.0157
"69",0.091,0.0174,-0.0897,0.1997,0.0476,-0.1604,-0.0212,-0.0798,-0.0301,0.0346,-0.0176,-0.1115,-0.0265,-0.0566,0.2407,0.0742,0.1939,-0.1794,0.0894,0.2889,-0.0323,0.2044,0.051,0.0245,-0.066,0.0878,-0.0818,-0.1569,0.0182,0.0245,0.0491,0.0191,0.0039,0.0041,0.0334,-0.0196,0.0306,0.0584,-0.1838,-0.1663,0.0287,0.0086,0.1864,0.0107,-0.0692,0.0413,0.2509,-0.1314,-0.0416,-0.0413,0.0284,0.0195,0.0695,-0.0071,0.012,-0.1554,0.0193,0.1122,0.0723,0.052,-0.1496,-0.0211,-0.0544,-0.043,0.1309,-0.0986,0.1652,0.2265,1,0.0449,0.0402,0.0618,-0.0034,0.056,-0.0354,-0.0317
"70",0.042,0.0088,-0.0845,0.1046,0.0678,-0.175,-0.0241,-0.1317,-0.0213,-0.0213,0.0175,-0.0527,-0.071,-0.0185,0.1087,-0.0401,0.115,-0.0632,0.062,-0.1177,0.0966,-0.0544,0.118,-0.1022,0.102,0.0688,0.0456,-0.023,0.0338,-0.0133,-0.0393,0.0561,-0.0095,-0.017,-0.0279,0.1247,0.1653,0.0102,0.0359,0.2108,-0.0948,0.0695,0.034,-0.0219,0.0475,0.0368,0.1479,0.0061,-0.0626,-0.235,-0.2884,0.0567,-0.0821,0.1294,0.1577,-0.0338,-0.007,0.03,0.0307,0.0266,-0.1589,-0.1221,-0.0733,0.0592,-0.0411,-0.3099,-0.0259,0.1671,0.0449,1,0.1069,0.038,-0.0148,-0.0283,0.0608,0.0704
"71",0.06,0.0822,0.0959,0.0391,0.0615,-0.0528,-0.1541,0.1674,-0.2744,0.054,-0.4314,0.0439,-0.2814,0.4878,-0.0617,0.021,-0.02,0.3362,-0.1092,0.0092,0.1835,-0.0422,0.2941,0.6195,0.0464,0.0926,-0.0466,0.5108,0.5504,-0.1538,0.0805,1,-0.1498,-0.4023,0.0609,0.0776,0.6084,-0.03,-0.1502,-0.0798,0.0868,-0.0115,-0.0758,-0.0398,0.0738,0.0163,0.1143,-0.126,0.1306,-0.1181,-0.1943,-0.1386,-0.1444,0.2114,0.2426,0.2983,0.4418,0.0881,-0.1394,-0.1898,0.0873,0.1857,-0.0509,-0.0909,0.0461,-0.0447,-0.0661,-0.0326,0.0402,0.1069,1,0.0235,-0.0071,0.239,0.2261,0.8
"72",-0.2,-0.1658,-0.3296,-0.0647,0.0377,-0.1404,-0.3172,0.0355,-0.7,-0.0022,-0.3535,-0.0602,-0.7,0.1765,0.0553,-0.0883,-0.0521,-0.0398,0.0305,-0.0028,-0.0858,0.149,-0.1012,0.0562,0.0051,0.0651,0.0589,0.0257,0.3413,-0.0023,-0.0335,0.2006,1,-0.2946,0.1353,-0.0266,0.0431,-0.2635,-0.0664,0.0081,-0.0516,0.093,0.0596,-0.0573,-0.0059,-0.1407,-0.0824,0.0532,-0.0834,-0.4161,-0.2331,-0.3588,-0.2524,-0.264,0.1702,0.1094,-0.1243,-0.0707,0.0527,0.1152,-0.4044,0.2604,-0.2216,-0.185,-0.0313,-0.2213,0.0322,0.0846,0.0618,0.038,0.0235,1,-0.054,0.3642,0.0289,0.0793
"73",-0.2,-0.0395,-0.1866,-0.1018,-0.0023,-0.1078,-0.0097,-0.0095,-0.1201,-0.0304,-0.7,-0.1169,-0.0104,-0.3213,0.0725,0.0411,0.0706,-0.1205,0.0696,0.0051,-0.0042,-0.132,0.0075,0.056,0.4991,-0.0525,0.4242,-0.3349,-0.1931,0.0159,-0.0327,0.1383,-0.0788,1,0.2801,-0.0697,-0.2152,0.0232,-0.0746,0.0321,-0.0148,-0.104,-0.0161,-0.0899,0.0475,0.0218,2e-04,0.1078,0.0365,0.1493,0.0937,-0.3018,-0.3069,-0.3843,-0.3486,-0.3645,-0.1314,-0.1516,-0.004,-0.0307,-0.0342,-0.6107,0.0398,0.0361,-0.0349,-0.0283,0.0298,-0.0291,-0.0034,-0.0148,-0.0071,-0.054,1,0.4155,-0.1986,-0.3863
"74",-0.3117,-0.0224,-0.2643,-0.1597,0.0596,-0.0958,-0.1134,0.029,-0.9,0.066,-0.9,-0.0372,-0.5197,0.1754,0.1431,0.0558,-0.0419,0.0284,0.0458,0.0055,0.0051,0.0227,0.0217,0.3082,-0.0448,-0.0186,0.0033,0.0544,0.4048,0.0247,0.0802,0.4685,0.085,-0.0677,1,-0.0177,-0.0165,-0.2706,-0.0713,-0.1748,0.0217,-0.0201,-0.0289,-0.0507,0.0539,-0.0183,0.0014,-0.0429,0.0498,-0.2714,-0.1859,-0.4636,-0.3526,-0.3927,0.055,0.0481,-0.1165,-0.0961,0.0866,-0.049,-0.0602,0.0709,-0.1299,0.0297,0.0544,-0.0607,-0.0012,-0.0193,0.056,-0.0283,0.239,0.3642,0.4155,1,0.0286,0.0828
"75",0.1365,0.0132,0.1008,0.1226,-0.0899,0.0278,-0.0128,0.1194,-0.1021,0.2749,-0.1028,0.1869,-0.0937,0.9,0.0051,-0.073,-0.0351,-0.1355,-0.0521,0.0062,0.029,-0.0308,-0.505,0.3273,-0.0059,-0.0364,-0.0701,0.3681,0.3379,0.0488,0.0498,0.43,-0.0483,-0.2817,-0.0612,1,0.0857,-0.0877,-0.0244,-0.0409,-0.0469,0.0678,0.1448,0.0663,-0.0883,-0.162,-0.0372,0.005,0.0721,-0.0224,-1e-04,0.0187,-0.0177,-0.1066,0.0349,0.0388,-0.0277,-0.0687,-0.0167,-0.019,0.0554,-0.081,0.1295,0.1028,-0.0228,0.0022,0.0061,-0.0262,-0.0354,0.0608,0.2261,0.0289,-0.1986,0.0286,1,0.1137
"76",0.132,0.1777,0.2846,0.0462,0.1052,0.1157,-0.0454,0.0126,-0.2035,0.0265,-0.1819,0.2958,-0.2274,0.4278,-0.0222,0.0181,-0.0405,0.8,-0.0037,-0.0596,0.091,-0.0509,0.7,0.7,-0.2392,0.1019,-0.1523,0.9,0.8,-0.0028,0.1225,0.4447,-0.0174,-0.9,0.0413,-0.009,1,-0.03,-0.0016,-0.0703,0.0058,0.0385,-0.0685,-0.0102,-0.0273,0.0014,0.0264,-0.0407,0.0578,-0.1434,-0.1186,-0.0828,-0.0995,0.7,0.7,0.8,0.6,0.052,-0.0205,0.0155,-0.0179,0.6,-0.0718,-0.0265,0.0054,-0.0431,-0.0174,-0.0157,-0.0317,0.0704,0.8,0.0793,-0.3863,0.0828,0.1137,1
